experiment,architecture,activation,optimizer,seq_length,gradient_clipping,test_accuracy,test_f1_score,time_per_epoch,test_loss,train_accuracy,val_accuracy,train_loss,val_loss
BiLSTM_sigmoid_rmsprop_50_noclip,Bidirectional_LSTM,sigmoid,rmsprop,50,False,0.501039981842041,0.3337952353035229,32.76487438678741,0.6932931542396545,0.49900001287460327,0.48579999804496765,0.693503201007843,0.6935988068580627
BiLSTM_sigmoid_rmsprop_50_clip,Bidirectional_LSTM,sigmoid,rmsprop,50,True,0.501039981842041,0.3337952353035229,33.98216128349304,0.6933515667915344,0.5008000135421753,0.48579999804496765,0.6934048533439636,0.6935335397720337
RNN_sigmoid_rmsprop_100_noclip,RNN,sigmoid,rmsprop,100,False,0.501039981842041,0.3337952353035229,21.401290702819825,0.6932167410850525,0.4980500042438507,0.48579999804496765,0.6935779452323914,0.6933081746101379
RNN_sigmoid_sgd_100_clip,RNN,sigmoid,sgd,100,True,0.501039981842041,0.3337952353035229,15.444922709465027,0.6935631036758423,0.4970499873161316,0.51419997215271,0.6955457925796509,0.6930594444274902
RNN_sigmoid_sgd_100_noclip,RNN,sigmoid,sgd,100,False,0.501039981842041,0.3337952353035229,15.410714602470398,0.6934031844139099,0.49559998512268066,0.51419997215271,0.6957198977470398,0.693138837814331
LSTM_relu_sgd_50_noclip,LSTM,relu,sgd,50,False,0.501039981842041,0.3337952353035229,8.177540016174316,0.6938020586967468,0.49950000643730164,0.48579999804496765,0.693648099899292,0.6937181353569031
RNN_tanh_sgd_100_noclip,RNN,tanh,sgd,100,False,0.501039981842041,0.3337952353035229,15.282456111907958,0.6939108371734619,0.4977000057697296,0.51419997215271,0.7152816653251648,0.6929332613945007
LSTM_sigmoid_sgd_50_noclip,LSTM,sigmoid,sgd,50,False,0.501039981842041,0.3337952353035229,14.647484064102173,0.6934589743614197,0.49950000643730164,0.51419997215271,0.6959643959999084,0.693368673324585
LSTM_sigmoid_sgd_50_clip,LSTM,sigmoid,sgd,50,True,0.501039981842041,0.3337952353035229,14.663404297828674,0.6934484243392944,0.49514999985694885,0.51419997215271,0.695997416973114,0.6934133768081665
LSTM_sigmoid_rmsprop_50_noclip,LSTM,sigmoid,rmsprop,50,False,0.4989599883556366,0.33287079041468753,21.145922207832335,0.6931614279747009,0.5008500218391418,0.48579999804496765,0.6933404803276062,0.6932613849639893
RNN_relu_sgd_100_noclip,RNN,relu,sgd,100,False,0.4989599883556366,0.33287079041468753,22.19171588420868,,0.5860499739646912,0.48579999804496765,,
LSTM_sigmoid_rmsprop_50_clip,LSTM,sigmoid,rmsprop,50,True,0.4989599883556366,0.33287079041468753,21.123466086387634,0.6931670904159546,0.499099999666214,0.48579999804496765,0.6932987570762634,0.6932894587516785
